D = 1;
n = [ 9 ];

N = 10;
d = [ 1 1 1 1 1 1 1 1 1 1 ];
m = [
[ 1.00 0.97 0.25 0.15 0.78 0.13 0.05 0.13 0.95 1.00 ]
[ 0.97 1.00 0.67 0.97 0.77 0.60 0.69 0.65 0.73 0.48 ]
[ 0.25 0.67 1.00 0.00 0.48 0.93 0.32 0.94 0.89 0.84 ]
[ 0.15 0.97 0.00 1.00 0.83 0.24 0.72 0.86 0.96 0.87 ]
[ 0.78 0.77 0.48 0.83 1.00 0.37 0.94 0.16 0.44 0.81 ]
[ 0.13 0.60 0.93 0.24 0.37 1.00 0.96 0.91 0.53 0.38 ]
[ 0.05 0.69 0.32 0.72 0.94 0.96 1.00 0.86 0.93 0.48 ]
[ 0.13 0.65 0.94 0.86 0.16 0.91 0.86 1.00 0.89 0.96 ]
[ 0.95 0.73 0.89 0.96 0.44 0.53 0.93 0.89 1.00 0.87 ]
[ 1.00 0.48 0.84 0.87 0.81 0.38 0.48 0.96 0.87 1.00 ]
];
